"Source:","C:\Users\stefa\Documents\Projects\DAC\steDAC\steDAC.kicad_sch"
"Date:","5/12/2022 7:44:02 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Users\stefa\Documents\Projects\DAC/steDAC_bom_generator.py"
"Component Count:","149"
"Qnty","Product","Mouser Part Number","Description","Schematic","Note"
"8","0805YC224JAT2A","581-0805YC224JAT2A","","C2, C5, C20, C21, C22, C23, C36, C37, ",""
"11","C0805C104K8RACAUTO","80-C0805C104K8RAUTO","","C3, C38, C39, C40, C41, C50, C51, C52, C53, C73, C75, ",""
"3","0805ZD225KAT4A","581-0805ZD225KAT4A","","C4, C24, C25, ",""
"1","VJ0805A100GXJCW1BC","77-VJ0805A100GXJCBC","","C6, ",""
"2","C0805C120J8GACTU","80-C0805C120J8G","","C7, C8, ",""
"26","CL21B104KBCNFNC","187-CL21B104KBCNFNC","","C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C32, C33, C43, C49, C54, C55, C56, C57, C58, C59, C60, C72, C76, C77, C78, ",""
"4","C0805C511F3HACTU","80-C0805C511F3HACTU","","C26, C27, C28, C29, ",""
"4","C0805C202F4HACAUTO","80-C0805C202F4HAUTO","","C30, C31, C34, C35, ",""
"6","LMK212ABJ106KG8T","963-LMK212ABJ106KG8T","","C42, C48, C62, C66, C71, C79, ",""
"5","ECA-1CHG470I","667-ECA-1CHG470I","","C44, C45, C46, C47, C74, ",""
"1","EMK212B7105KG-T","963-EMK212B7105KG-T","","C61, ",""
"1","0805YD102KAT2A","581-0805YD102KAT2A","","C63, ",""
"2","ESH105M100AC3AA","80-ESH105M100AC3AA","","C64, C65, ",""
"3","C0805C103K4RECTU","80-C0805C103K4RECTU","","C67, C68, C70, ",""
"1","ECE-A1HKA2R2","667-ECE-A1HKA2R2","","C69, ",""
"1","SM0805PGC","749-SM0805PGC","","D2, ",""
"1","82400102","710-82400102","","D3, ",""
"1","1206L050/15YR","576-1206L050/15YR","","F2, ",""
"9","MFBW1V2012-000-R","704-MFBW1V2012-000-R","","FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, ",""
"1","ES9038Q2M","460-ES9038Q2M","","IC2, ",""
"1","ATSAMS70N20A-AN","556-ATSAMS70N20A-AN","","IC3, ",""
"5","ADP150AUJZ-3.3-R7","584-ADP150AUJZ-3.3R7","","IC4, IC5, IC6, IC7, IC11, ",""
"1","LT1026CS8#PBF","584-LT1026CS8#PBF","","IC8, ",""
"1","ADP7118ARDZ","584-ADP7118ARDZ","","IC9, ",""
"1","TPS7A3001DGNT","595-TPS7A3001DGNT","","IC10, ",""
"1","USB4105-GF-A","640-USB4105-GF-A","","J2, ",""
"1","","","","J3, ",""
"1","","","","J5, ",""
"1","","","","J6, ",""
"1","STX-3120-5B-284C","806-STX-31205B284C","","J7, ",""
"2","","","","JP2, JP4, ",""
"1","","","","JP3, ",""
"6","RC0805FR-7W10KL","603-RC0805FR-7W10KL","","R2, R28, R29, R30, R32, R37, ",""
"1","ERJ-HP6D1001V","667-ERJ-HP6D1001V","","R3, ",""
"1","CMP0805-FX-3300ELF","652-CMP0805-FX-3300L","","R4, ",""
"1","CRCW08055K62FKEAC","71-CRCW08055K62FKEAC","","R5, ",""
"2","","","","R6, R7, ",""
"3","ERJ-P06J472V","667-ERJ-P06J472V","","R8, R9, R10, ",""
"2","TNPW08054K02BYEN","71-TNPW08054K02BYEN","","R12, R14, ",""
"2","PNM0805E5001BST5","71-PNM0805E5001BST5","","R13, R15, ",""
"4","RG2012P-132-B-T5","754-RG2012P-132-BT5","","R16, R17, R18, R19, ",""
"4","TNPW0805750RBEEA","71-TNPW0805750RBEEA","","R20, R21, R22, R25, ",""
"4","RN73H2ATTD3520B25","660-RN73H2ATD3520B25","","R23, R24, R26, R27, ",""
"2","ERA-6AEB243V","667-ERA-6AEB243V","","R31, R33, ",""
"2","ERJ-6RBD5101V","667-ERJ-6RBD5101V","","R34, R35, ",""
"1","RCV0805100KJNEA","71-RCV0805100KJNEA","","R36, ",""
"1","","","","TP2, ",""
"2","OPA1612AQDRQ1","595-OPA1612AQDRQ1","","U2, U3, ",""
"1","OPA1622IDRCR","595-OPA1622IDRCR","","U4, ",""
"1","SiT8209AI-21-33S-100.000000X","788-8209AI2133S-100X","","Y2, ",""
"1","ABM3B-12.000MHZ-12-N2Y-T","815-ABM3B12MHZ12N2YT","","Y3, ",""
